2.18747,-4.16896,2314.7
1.73373,-3.86565,3210.5
1.31396,-3.46753,4473.87
0.832785,-3.18667,6350.63
0.944008,-2.76985,6105.2
1.33123,-2.35324,4419.23
1.69796,-1.88316,3508.17
1.19235,-1.54627,4425.63
0.877359,-1.0763,4846.43
0.476755,-0.676022,4027.47
-0.0490994,-0.767032,6686.97
-0.639633,-0.643659,5353.77
-1.18872,-0.878365,5122.13
-1.72251,-1.01864,3937.53
-2.21306,-1.33288,3381.17
-1.94392,-2.01305,4885.1
-1.55144,-2.21341,6747.37
-1.56264,-2.77303,8572.6
-1.43396,-3.12671,11521.9
-1.3755,-3.41743,15456.4
-1.29605,-3.84511,19168.1
-1.27272,-4.18385,15119.3
-1.43214,-4.62671,8149.2
-0.919477,-4.99204,6967.83
-0.598503,-5.06388,6936.1
-0.302054,-5.18875,5822.53
0.0425797,-5.24768,5029.27
0.670446,-5.24342,3411.9
0.99093,-4.97251,3500.17
1.53576,-5.11464,2429.7
1.04946,-4.22293,4158.87
0.755331,-4.28319,5466.53
1.67504,-3.14424,3565.83
-0.80371,-2.08988,11875.8
-1.95919,-2.73676,6147.47
-2.01627,-2.71298,5797.07
-2.38987,-3.17365,4887.07
-2.2302,-3.49549,5633.13
-2.18966,-3.7386,5849.07
-2.11821,-3.83898,6144.43
-2.11903,-3.911,5992.4
-1.62032,-5.43808,3799.57
-1.53728,-5.56386,3576.4
-1.24338,-5.86477,3150.63
-1.16182,-5.90529,3161.33
-1.08143,-5.90669,3167.07
